,State,District,District Code,Assembly Constituency,AC Code,Total Population,Male,Female,Total Household,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Small Scale Industries (0-1),Adult & Non-Formal Education (0-1)
128,RAJASTHAN (8),JHUNJHUNU (106),106,Udaipurwati(631),30.0,43703.0,22366.0,19508.0,8724.0,1.0555555555555556,3.1944444444444446,1.5833333333333333,0.05555555555555555,4.0,1.7222222222222223,5.111111111111111,2.7222222222222223,0.1111111111111111,0.5,0.5555555555555556,0.05555555555555555,0.5,5.166666666666667,1.6111111111111112,2.6388888888888893,0.3333333333333333,0.75,4.916666666666667,3.25,0.1111111111111111,0.7222222222222222,0.4722222222222222,0.0,0.1111111111111111,0.05555555555555555
129,RAJASTHAN (8),JODHPUR (107),107,Bhopalgarh(665),126.0,123003.0,64400.0,58603.0,23517.0,1.1219512195121952,1.4268292682926829,0.7560975609756098,0.024390243902439025,3.9268292682926833,1.5121951219512195,5.243902439024391,2.658536585365854,0.0,0.3414634146341464,0.5853658536585366,0.04878048780487805,0.24390243902439024,3.902439024390244,1.451219512195122,2.7439024390243905,0.32926829268292684,0.475609756097561,4.341463414634147,2.9268292682926833,0.14634146341463414,0.36585365853658536,0.4878048780487805,0.0,0.0,0.0975609756097561
130,RAJASTHAN (8),JODHPUR (107),107,Bilara(666),131.0,98383.0,50131.0,46116.0,21187.0,1.2439024390243902,1.7560975609756098,1.2439024390243902,0.024390243902439025,3.7073170731707314,1.3902439024390243,5.378048780487805,2.609756097560976,0.0975609756097561,0.4634146341463415,0.5365853658536586,0.0,0.3414634146341464,4.2682926829268295,1.5121951219512195,3.0121951219512195,0.3170731707317073,0.6219512195121951,4.2926829268292686,3.256097560975609,0.04878048780487805,0.4390243902439024,0.4390243902439024,0.07317073170731707,0.0975609756097561,0.024390243902439025
131,RAJASTHAN (8),JODHPUR (107),107,Jodhpur(632),128.0,38489.0,20954.0,17524.0,9743.0,1.3214285714285714,1.9642857142857144,0.5714285714285714,0.14285714285714285,3.7857142857142856,1.7857142857142858,5.4642857142857135,1.9285714285714288,0.14285714285714285,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,4.75,0.7857142857142857,2.5357142857142856,0.07142857142857142,1.1428571428571428,4.321428571428571,2.4642857142857144,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.0
132,RAJASTHAN (8),JODHPUR (107),107,Lohawat(633),123.0,108730.0,57381.0,51124.0,20993.0,0.6746031746031746,2.6349206349206344,0.5476190476190477,0.015873015873015872,3.4603174603174605,1.0158730158730158,4.126984126984127,2.4920634920634916,0.047619047619047616,0.492063492063492,0.3015873015873016,0.07936507936507936,0.25396825396825395,2.8650793650793656,0.8253968253968254,2.333333333333333,0.1507936507936508,0.6190476190476191,2.6746031746031744,2.6904761904761907,0.06349206349206349,0.14285714285714285,0.3253968253968254,0.06349206349206349,0.015873015873015872,0.015873015873015872
133,RAJASTHAN (8),JODHPUR (107),107,Luni(634),130.0,76291.0,40576.0,35368.0,15566.0,1.554054054054054,2.95945945945946,1.635135135135135,0.0,3.8378378378378377,1.2702702702702702,4.8243243243243255,2.72972972972973,0.2972972972972973,0.3783783783783784,0.13513513513513514,0.10810810810810813,0.4864864864864865,4.594594594594595,1.0135135135135136,2.864864864864865,0.28378378378378377,1.945945945945946,2.972972972972973,2.6351351351351346,0.027027027027027032,0.21621621621621626,0.28378378378378377,0.13513513513513514,0.2702702702702703,0.054054054054054064
134,RAJASTHAN (8),JODHPUR (107),107,Osian(668),125.0,162644.0,73417.0,64073.0,28802.0,1.1696428571428572,2.7946428571428568,0.7678571428571429,0.0,3.7142857142857135,1.25,4.392857142857143,2.107142857142857,0.0,0.3928571428571429,0.3392857142857143,0.03571428571428571,0.07142857142857142,3.383928571428572,1.2053571428571428,2.607142857142857,0.21428571428571427,0.7321428571428571,2.946428571428572,2.419642857142857,0.07142857142857142,0.32142857142857145,0.4375,0.0,0.03571428571428571,0.07142857142857142
135,RAJASTHAN (8),JODHPUR (107),107,Phalodi(635),122.0,37001.0,19670.0,17331.0,8039.0,0.56,1.82,0.66,0.0,3.16,1.0,4.32,2.6,0.16,0.24,0.12,0.0,0.12,2.16,0.76,2.14,0.08,0.3,2.42,2.54,0.0,0.04,0.38,0.0,0.0,0.0
136,RAJASTHAN (8),JODHPUR (107),107,Shergarh(638),124.0,60941.0,31500.0,27158.0,14256.0,0.8055555555555556,1.6944444444444444,1.2222222222222223,0.0,3.2222222222222223,1.0555555555555556,4.263888888888889,2.333333333333333,0.1111111111111111,0.3333333333333333,0.2777777777777778,0.1111111111111111,0.19444444444444445,3.9027777777777777,0.9444444444444444,2.2777777777777777,0.3194444444444444,0.9861111111111112,2.861111111111111,2.708333333333333,0.25,0.1388888888888889,0.7361111111111112,0.1111111111111111,0.027777777777777776,0.027777777777777776
137,RAJASTHAN (8),KARAULI (108),108,Hindaun(643),82.0,216042.0,113956.0,100181.0,38702.0,1.2067307692307692,3.375,1.5480769230769231,0.3269230769230769,3.5576923076923075,0.6538461538461539,6.0769230769230775,1.8413461538461535,0.17307692307692307,0.5576923076923077,0.4134615384615384,0.17307692307692307,0.21153846153846154,4.480769230769232,1.0865384615384617,3.1442307692307687,0.6971153846153846,0.9471153846153846,3.7211538461538463,2.3509615384615383,0.17307692307692307,0.4807692307692308,0.9519230769230768,0.4615384615384616,0.19230769230769232,0.3076923076923077
138,RAJASTHAN (8),KARAULI (108),108,Karauli(644),83.0,138408.0,74615.0,63681.0,26081.0,1.1025641025641026,2.5705128205128207,0.9487179487179488,0.08974358974358974,3.602564102564102,0.8333333333333334,4.974358974358975,1.8269230769230769,0.07692307692307693,0.2948717948717949,0.5897435897435898,0.07692307692307693,0.1794871794871795,4.051282051282051,1.3782051282051282,2.5961538461538463,0.3525641025641026,0.4615384615384616,3.4615384615384617,3.685897435897436,0.2307692307692308,0.4743589743589744,0.20512820512820512,0.08974358974358974,0.038461538461538464,0.1153846153846154
139,RAJASTHAN (8),KARAULI (108),108,Rajakhera(645),80.0,100101.0,53718.0,44629.0,18955.0,0.7669491525423728,3.2372881355932206,0.8432203389830508,0.00847457627118644,3.906779661016949,0.8559322033898304,5.186440677966102,2.2372881355932206,0.025423728813559324,0.15254237288135594,0.2457627118644068,0.01694915254237288,0.11864406779661014,4.050847457627119,0.8305084745762712,2.1822033898305087,0.4110169491525424,0.6652542372881356,3.4322033898305087,2.7372881355932206,0.09322033898305083,0.6610169491525424,0.4915254237288136,0.0423728813559322,0.03389830508474576,0.03389830508474576
140,RAJASTHAN (8),KARAULI (108),108,Sapotra(646),84.0,72458.0,38739.0,33719.0,15145.0,1.391891891891892,3.472972972972973,2.216216216216216,0.10810810810810813,3.6756756756756763,1.0,4.45945945945946,2.2432432432432434,0.054054054054054064,0.3783783783783784,0.40540540540540543,0.027027027027027032,0.16216216216216214,3.472972972972973,1.0405405405405406,2.4864864864864864,0.33783783783783783,0.7567567567567568,3.918918918918919,2.7972972972972974,0.21621621621621626,0.5135135135135135,0.5135135135135135,0.027027027027027032,0.027027027027027032,0.2972972972972973
141,RAJASTHAN (8),KARAULI (108),108,Todabhim(647),81.0,84220.0,45528.0,38682.0,17499.0,1.065217391304348,2.8804347826086962,1.6847826086956519,0.0,3.804347826086957,0.9347826086956522,4.619565217391305,2.4130434782608696,0.0,0.3695652173913043,0.21739130434782608,0.043478260869565216,0.15217391304347827,3.097826086956522,0.6521739130434783,2.347826086956522,0.2826086956521739,0.9130434782608696,3.0543478260869565,2.858695652173913,0.021739130434782608,0.13043478260869565,0.8804347826086957,0.0,0.021739130434782608,0.043478260869565216
142,RAJASTHAN (8),KOTA (109),109,Kota South(651),190.0,950.0,550.0,400.0,150.0,1.5,1.5,1.5,0.0,2.0,0.0,3.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,0.5,0.5,2.5,3.0,0.0,0.0,1.5,0.0,0.0,0.0
143,RAJASTHAN (8),KOTA (109),109,Ladpura(652),191.0,54184.0,26783.0,26444.0,14804.0,1.3409090909090908,3.352272727272727,1.2272727272727273,0.022727272727272728,3.522727272727273,1.7954545454545454,4.840909090909091,2.636363636363636,0.13636363636363635,0.20454545454545456,0.3409090909090909,0.0,0.09090909090909093,3.227272727272727,0.6818181818181818,2.0681818181818183,0.3522727272727273,0.75,3.4431818181818183,3.2954545454545454,0.13636363636363635,0.3181818181818182,1.8977272727272727,0.20454545454545456,0.11363636363636365,0.0
144,RAJASTHAN (8),KOTA (109),109,Pipalda(653),187.0,58276.0,30340.0,27786.0,11972.0,1.2452830188679245,4.2075471698113205,1.9528301886792447,0.09433962264150944,2.037735849056604,1.4150943396226414,4.754716981132075,2.179245283018868,0.0,0.33962264150943394,0.33962264150943394,0.018867924528301886,0.3962264150943397,3.2830188679245285,0.9245283018867924,2.0188679245283017,0.1320754716981132,0.6792452830188679,3.1603773584905666,3.179245283018868,0.03773584905660377,0.3018867924528302,1.481132075471698,0.018867924528301886,0.018867924528301886,0.018867924528301886
145,RAJASTHAN (8),KOTA (109),109,Ramganj mandi(654),192.0,86345.0,46683.0,39641.0,18183.0,2.119565217391304,3.260869565217391,1.423913043478261,0.10869565217391304,3.608695652173913,1.4130434782608696,4.967391304347826,2.5,0.1956521739130435,0.3043478260869565,0.21739130434782608,0.043478260869565216,0.4782608695652174,3.4239130434782608,0.8478260869565217,2.010869565217391,0.3804347826086957,0.6521739130434783,3.6630434782608696,3.1195652173913038,0.3043478260869565,0.5434782608695652,1.2934782608695652,0.0,0.021739130434782608,0.0
146,RAJASTHAN (8),KOTA (109),109,Sangod(655),188.0,103221.0,52553.0,48916.0,30004.0,1.65625,3.7125,1.53125,0.075,3.5625,1.4375,5.34375,2.45,0.0375,0.35,0.475,0.125,0.3875,3.34375,0.95625,2.26875,0.34375,1.0375,3.9,3.09375,0.15,0.5,1.5375,0.025,0.0375,0.1375
147,RAJASTHAN (8),NAGAUR (110),110,Bhim(673),173.0,59624.0,30090.0,29532.0,14670.0,1.4473684210526316,2.37280701754386,2.732456140350877,0.02631578947368421,3.3508771929824563,1.3947368421052633,5.521929824561402,2.745614035087719,0.008771929824561403,0.6052631578947368,0.8947368421052632,0.008771929824561403,0.5701754385964912,5.192982456140351,1.5043859649122808,2.7894736842105265,0.05263157894736842,0.21929824561403508,4.491228070175438,3.293859649122807,0.05263157894736842,0.6578947368421053,1.1271929824561404,0.0,0.5,0.008771929824561403
148,RAJASTHAN (8),NAGAUR (110),110,Deedwana(656),107.0,51163.0,26839.0,24304.0,11188.0,1.1176470588235294,1.1470588235294117,0.9705882352941176,0.0,4.0,1.8823529411764703,5.323529411764706,2.7058823529411766,0.0,0.5294117647058824,0.35294117647058826,0.05882352941176471,0.35294117647058826,4.705882352941177,1.1470588235294117,2.7058823529411766,0.38235294117647056,0.8529411764705882,3.9705882352941178,2.0588235294117645,0.0,0.1176470588235294,0.17647058823529413,0.0,0.0,0.05882352941176471
149,RAJASTHAN (8),NAGAUR (110),110,Degana(674),112.0,26689.0,13731.0,11288.0,5605.0,0.6136363636363636,1.0,0.8863636363636364,0.0,3.954545454545455,0.8181818181818182,5.090909090909091,2.590909090909091,0.0,0.2272727272727273,0.6363636363636364,0.0,0.2727272727272727,3.522727272727273,1.1136363636363635,2.136363636363636,0.20454545454545456,0.3409090909090909,3.977272727272727,3.3409090909090913,0.0,0.3636363636363637,0.4318181818181818,0.0,0.045454545454545456,0.13636363636363635
150,RAJASTHAN (8),NAGAUR (110),110,Jayal(657),108.0,23907.0,12259.0,11648.0,4986.0,0.6875,0.90625,0.96875,0.0,3.8125,1.125,5.3125,2.6875,0.0625,0.25,0.25,0.0,0.4375,4.21875,1.40625,2.34375,0.1875,0.46875,2.96875,2.5625,0.125,0.3125,0.5625,0.0,0.0,0.0625
151,RAJASTHAN (8),NAGAUR (110),110,Khinwsar(658),110.0,56592.0,29686.0,26906.0,11262.0,1.25,2.409090909090909,1.068181818181818,0.0,3.9090909090909087,1.5909090909090908,5.409090909090909,2.3181818181818183,0.13636363636363635,0.5454545454545454,0.4090909090909091,0.0,0.5454545454545454,4.204545454545454,1.568181818181818,2.590909090909091,0.3181818181818182,0.9545454545454546,5.0,2.636363636363636,0.09090909090909093,0.3636363636363637,0.3863636363636364,0.09090909090909093,0.13636363636363635,0.045454545454545456
152,RAJASTHAN (8),NAGAUR (110),110,Ladnun(659),106.0,39501.0,20219.0,19272.0,9323.0,0.6785714285714286,1.0714285714285714,0.9642857142857144,0.0,4.0,1.9285714285714288,5.285714285714286,2.9285714285714284,0.2857142857142857,0.5714285714285714,0.6428571428571429,0.07142857142857142,0.35714285714285715,4.821428571428571,1.6071428571428572,3.1071428571428568,0.35714285714285715,0.8214285714285714,4.535714285714286,3.1071428571428568,0.14285714285714285,0.42857142857142855,0.35714285714285715,0.0,0.21428571428571427,0.14285714285714285
153,RAJASTHAN (8),NAGAUR (110),110,Makrana(660),113.0,23222.0,12320.0,10802.0,4307.0,1.0,0.6153846153846154,1.1538461538461535,0.0,4.0,2.0769230769230766,6.0769230769230775,2.5384615384615383,0.0,0.15384615384615385,0.9230769230769232,0.0,1.0,3.0384615384615383,1.7692307692307692,2.4230769230769234,0.15384615384615385,1.0769230769230769,4.076923076923077,2.3846153846153846,0.2307692307692308,0.6923076923076923,0.3461538461538461,0.0,0.0,0.0
154,RAJASTHAN (8),NAGAUR (110),110,Merta(677),111.0,34044.0,17692.0,16352.0,8074.0,0.8823529411764706,2.5294117647058822,1.0294117647058822,0.0,4.0,1.2941176470588236,5.323529411764706,2.647058823529412,0.0,0.5882352941176471,0.4705882352941176,0.05882352941176471,0.4705882352941176,3.5588235294117645,1.5,3.0294117647058822,0.17647058823529413,0.4705882352941176,3.7058823529411766,3.0294117647058822,0.05882352941176471,0.6470588235294118,0.7352941176470589,0.0,0.05882352941176471,0.17647058823529413
155,RAJASTHAN (8),NAGAUR (110),110,Nagaur(661),109.0,34478.0,18012.0,16466.0,6226.0,1.1176470588235294,1.1470588235294117,0.8235294117647058,0.0,3.941176470588236,1.4705882352941178,4.411764705882354,2.323529411764706,0.0,0.2352941176470588,0.5882352941176471,0.05882352941176471,0.5294117647058824,3.3529411764705883,1.0294117647058822,2.176470588235294,0.2058823529411765,0.4117647058823529,3.7058823529411766,2.764705882352941,0.1176470588235294,0.4117647058823529,0.35294117647058826,0.0,0.05882352941176471,0.0
